LS27HG806EFXZW,對應型號S27HG806EF,27吋 Odyssey G8 G80HF 5K 180Hz / QHD 360Hz 平面電競顯示器,27吋16:9 IPS平面,5K (5120 x 2880) / DLG QHD (2560 x 1440),Max 5K 180Hz / QHD 360Hz,1ms (GtG),典型 350 cd/㎡ / 峰值 400 cd/㎡ / 最小 250 cd/㎡,原生 1000:1,HDR10 / HDR10+ Gaming,178°(H)/178°(V),sRGB 99% / Max 1B 色,節能模式 / 低藍光 / 零閃屏 / FreeSync Premium / G-Sync / 雙模式 / Off Timer Plus / 黑平衡 / 虛擬準心 / Core Sync / 超級電競模式 UX / Auto Source Switch+,Display Port 1 (DP 2.1) + HDMI 2 (2.1) + 耳機 + USB-B 上行 + USB-A 下行 2 (3.2 Gen1),無喇叭,HAS Pivot 底座 HAS 120mm / 前後傾斜 -2°~25° / 左右旋轉 -30°~30° / 垂直旋轉 -92°~92°,100 x 100 mm,AC 100-240V 外接電源變壓器,最高 78W,614.1 x 566.6 x 263.9 mm,614.1 x 365.1 x 59.6 mm,665 x 153 x 477 mm,6.2 kg,3.7 kg,8.3 kg,電源線 1.5m + HDMI 線 + DP 線 + USB 3.0 線
LS27D706EACXZW,對應型號S27D706EAC,27吋 ViewFinity S7 UHD 高解析度平面顯示器 S70D,27吋16:9 IPS,4K UHD (3840 x 2160),Max 60Hz,5ms,典型 350 cd/㎡ / 最小 280 cd/㎡,原生 1000:1 / 動態 Mega ∞ DCR,HDR10,178°(H)/178°(V),sRGB 99% / Max 1.07B,低藍光 / 零閃屏 / PIP / PBP / Windows 11 認證 / Adaptive Picture / Auto Source Switch+,Display Port 1.2 x 1 + HDMI 2.0 x 1 + 耳機,無喇叭,簡約型底座 / 前後傾斜 -2°~25° (無 HAS / 左右 / 垂直),100 x 100,AC 100-240V 內置電源,最高 80W,612.9 x 473.2 x 180 mm,612.9 x 367.7 x 41.6 mm,687 x 160 x 484 mm,5.0 kg,3.5 kg,6.6 kg,電源線 1.5m + HDMI 線 + DP 線
LS24D604UACXZW,對應型號S24D604UAC,24吋 ViewFinity S6 QHD 高解析度平面顯示器 S60UD,24吋16:9 IPS,QHD (2560 x 1440),Max 100Hz,5ms,典型 350 cd/㎡ / 最小 280 cd/㎡,原生 1000:1 / 動態 Mega,HDR10,178°(H)/178°(V),sRGB 99% / Max 1.07B,低藍光 / 零閃屏 / PIP / PBP / 菊鏈 / KVM Switch / Adaptive Picture / Auto Source Switch+ / Windows 11 認證,Display Port 1.4 x 1 + HDMI 2.0 x 1 + Display Port Out 1.4 x 1 + USB-C 1 (90W) + USB Hub 3.0 x 3 + LAN x 1 + 耳機,無喇叭,HAS 高度 120mm / 前後傾斜 -2°~25° / 左右旋轉 -30°~30° / 垂直旋轉 -92°~92°,100 x 100,AC 100-240V 內置電源,最高 160W,540.7 x 535.9 x 220 mm,540.7 x 327.2 x 41.7 mm,609 x 160 x 479 mm,5.4 kg,2.9 kg,7.0 kg,電源線 1.5m + HDMI 線 + USB Type-C 線
LS27D606UACXZW,對應型號S27D606UAC,27吋 ViewFinity S6 QHD 高解析度平面顯示器 S60UD,27吋16:9 IPS,QHD (2560 x 1440),Max 100Hz,5ms,典型 350 cd/㎡ / 最小 280 cd/㎡,原生 1000:1 / 動態 Mega,HDR10,178°(H)/178°(V),sRGB 99% / Max 1.07B,節能模式 / 低藍光 / 零閃屏 / PIP / PBP / 菊鏈 / KVM Switch / Adaptive Picture / Auto Source Switch+ / Windows 11 認證,Display Port 1.4 x 1 + HDMI 2.0 x 1 + Display Port Out 1.4 x 1 + USB-C 1 (90W) + USB-B 上行 x 1 + USB Hub 3.0 x 3 + LAN x 1 + 耳機,無喇叭,HAS 高度 120mm / 前後傾斜 -2°~25° / 左右旋轉 -30°~30° / 垂直旋轉 -92°~92°,100 x 100,AC 100-240V 內置電源,最高 160W,612.9 x 556.6 x 220 mm,612.9 x 367.7 x 41.6 mm,687 x 160 x 510 mm,6.1 kg,3.6 kg,7.9 kg,電源線 1.5m + DP 線 + USB Type-C 線
LS32CM801UCXZW,對應型號S32CM801UC,32吋智慧聯網螢幕 M8 (2024),32吋16:9 VA,4K UHD (3840 x 2160),Max 60Hz,4ms (GtG),典型 400 cd/㎡ / 最小 300 cd/㎡,3000:1,HDR10 / HDR10+,178°(H)/178°(V),sRGB 99% / Max 1B 色,Smart 類型 / Tizen 作業系統 / 長距離語音辨識 / Microsoft 365 / SmartThings Hub / 多裝置體驗 / Wireless DeX / My Contents / 多重視窗 / NFT (Nifty Gateway) / 感應連結 (Tap View) / 遠端存取 / Smart TV Apps,Wireless Display + HDMI 1 (2.0) + USB 2 (USB Hub 2.0) + USB-C 1 (65W 充電) + WiFi 5 + 藍牙 5.2,立體聲 5W x 2 / Adaptive Sound+,HAS Pivot 底座 HAS 120mm / 前後傾斜 -2°~15° / 垂直旋轉 -92°~92°,100 x 100,AC 100-240V 外接電源變壓器,最高 140W,713.4 x 616.2 x 200.1 mm,713.4 x 423.8 x 24.5 mm,925 x 132 x 485 mm,7.2 kg,4.2 kg,10.4 kg,電源線 1.5m + HDMI 線 + USB Type-C 線 + 白色 USB-C 充電遙控器 + 視訊攝影機 (可拆式磁吸) + Pogo Gender
LS32CM80GUCXZW,對應型號S32CM80GUC,32吋智慧聯網螢幕 M8 (2023) 湖水綠限定色,32吋16:9 VA,4K UHD (3840 x 2160),Max 60Hz,4ms (GtG),典型 400 cd/㎡ / 最小 300 cd/㎡,3000:1 (靜態),HDR10 / HDR10+,178°(H) / 178°(V),sRGB 99% (CIE1931) / Max 1B 色,Smart 類型 / Tizen 作業系統 / 長距離語音辨識 / Microsoft 365 / SmartThings Hub / 多裝置體驗 / Wireless DeX / My Contents / 多重視窗 / NFT (Nifty Gateway) / Knox Vault / 感應連結 (Tap View) / 遠端存取 / Smart TV Apps,Wireless Display + HDMI 1 (2.0, HDCP 2.2) + USB 2 (USB Hub 2.0) + USB-C 1 (65W 充電, HDCP 2.2) + WiFi 5 + 藍牙 5.2,立體聲 5W x 2 / 智慧偵測音效 Adaptive Sound+,HAS Pivot 底座 / HAS 高度調整 120.0 mm / 前後傾斜 -2.0°~15.0° / 垂直旋轉 -92.0°~+92.0°,100 x 100,AC 100~240V / 外接電源變壓器,最高 140 W,713.4 x 616.2 x 200.1 mm,713.4 x 423.8 x 24.5 mm,925 x 132 x 485 mm,7.2 kg,4.2 kg,10.4 kg,電源線 1.5 m + HDMI 連接線 + USB Type-C 連接線 + 白色 USB-C 充電遙控器 + 視訊攝影機 (可拆式磁吸) + Pogo Gender
LS32CM80BUCXZW,對應型號S32CM80BUC,32吋智慧聯網螢幕 M8 (2023) 夕霧藍限定色,32吋16:9 VA,4K UHD (3840 x 2160),Max 60Hz,4ms (GtG),典型 400 cd/㎡ / 最小 300 cd/㎡,3000:1 (靜態),HDR10 / HDR10+,178°(H) / 178°(V),sRGB 99% (CIE1931) / Max 1B 色,Smart 類型 / Tizen 作業系統 / 長距離語音辨識 / Microsoft 365 / SmartThings Hub / 多裝置體驗 / Wireless DeX / My Contents / 多重視窗 / NFT (Nifty Gateway) / Knox Vault / 感應連結 (Tap View) / 遠端存取 / Smart TV Apps,Wireless Display + HDMI 1 (2.0, HDCP 2.2) + USB 2 (USB Hub 2.0) + USB-C 1 (65W 充電, HDCP 2.2) + WiFi 5 + 藍牙 5.2,立體聲 5W x 2 / 智慧偵測音效 Adaptive Sound+,HAS Pivot 底座 / HAS 高度調整 120.0 mm / 前後傾斜 -2.0°~15.0° / 垂直旋轉 -92.0°~+92.0°,100 x 100,AC 100~240V / 外接電源變壓器,最高 140 W,713.4 x 616.2 x 200.1 mm,713.4 x 423.8 x 24.5 mm,925 x 132 x 485 mm,7.2 kg,4.2 kg,10.4 kg,電源線 1.5 m + HDMI 連接線 + USB Type-C 連接線 + 白色 USB-C 充電遙控器 + 視訊攝影機 (可拆式磁吸) + Pogo Gender
LS32CM80PUCXZW,對應型號S32CM80PUC,32吋智慧聯網螢幕 M8 (2023) 薔薇粉限定色,32吋16:9 VA,4K UHD (3840 x 2160),Max 60Hz,4ms (GtG),典型 400 cd/㎡ / 最小 300 cd/㎡,3000:1 (靜態),HDR10 / HDR10+,178°(H) / 178°(V),sRGB 99% (CIE1931) / Max 1B 色,Smart 類型 / Tizen 作業系統 / 長距離語音辨識 / Microsoft 365 / SmartThings Hub / 多裝置體驗 / Wireless DeX / My Contents / 多重視窗 / NFT (Nifty Gateway) / Knox Vault / 感應連結 (Tap View) / 遠端存取 / Smart TV Apps,Wireless Display + HDMI 1 (2.0, HDCP 2.2) + USB 2 (USB Hub 2.0) + USB-C 1 (65W 充電, HDCP 2.2) + WiFi 5 + 藍牙 5.2,立體聲 5W x 2 / 智慧偵測音效 Adaptive Sound+,HAS Pivot 底座 / HAS 高度調整 120.0 mm / 前後傾斜 -2.0°~15.0° / 垂直旋轉 -92.0°~+92.0°,100 x 100,AC 100~240V / 外接電源變壓器,最高 140 W,713.4 x 616.2 x 200.1 mm,713.4 x 423.8 x 24.5 mm,925 x 132 x 485 mm,7.2 kg,4.2 kg,10.4 kg,電源線 1.5 m + HDMI 連接線 + USB Type-C 連接線 + 白色 USB-C 充電遙控器 + 視訊攝影機 (可拆式磁吸) + Pogo Gender
LS27CM703UCXZW,對應型號S27CM703UC,27吋智慧聯網螢幕 M7 (2023),27吋16:9 VA,4K UHD (3840 x 2160),Max 60Hz,4ms (GtG),典型 300 cd/㎡ / 最小 240 cd/㎡,3000:1 (靜態),HDR10,178°(H)/178°(V),sRGB 99% (CIE1931) / Max 1B,Smart 類型 / Tizen 作業系統 / 長距離語音辨識 / Microsoft 365 / SmartThings Hub / 多裝置體驗 / Wireless DeX / My Contents / 多重視窗 (Multi View 2 影片) / NFT (Nifty Gateway) / 感應連結 (Tap View) / 遠端存取 / 遊戲模式 / 影像尺寸 / Windows 10 認證 / 虛擬準心 / Game Bar 2.0 / HDMI-CEC / Auto Source Switch+ / Adaptive Picture / Ultrawide Game View / 低藍光 / 零閃屏,Wireless Display + HDMI 1 (2.0, HDCP 2.2) + USB 2 (USB Hub 2.0) + USB-C 1 (65W 充電, HDCP 2.2) + WiFi 5 + 藍牙 5.2,立體聲 5W x 2 / 智慧音效 Adaptive Sound+,HAS PIVOT 底座 / HAS 高度 120mm / 前後傾斜 -2°~15° / 垂直旋轉 -92°~92°,100 x 100,AC 100-240V 外接電源變壓器,最高 124W,612.8 x 557.2 x 188.0 mm,612.8 x 367.1 x 24.5 mm,693 x 156 x 451 mm,5.3 kg,3.3 kg,7.5 kg,電源線 1.5m + HDMI 線 + USB Type-C 線 + 白色 USB-C 充電遙控器
LS32CM703UCXZW,對應型號S32CM703UC,32吋智慧聯網螢幕 M7 (2023),32吋16:9 VA,4K UHD (3840 x 2160),Max 60Hz,4ms (GtG),典型 300 cd/㎡ / 最小 240 cd/㎡,3000:1 (靜態),HDR10,178°(H)/178°(V),sRGB 99% (CIE1931) / Max 1B,Smart 類型 / Tizen 作業系統 / 長距離語音辨識 / Microsoft 365 / SmartThings Hub / 多裝置體驗 / Wireless DeX / My Contents / 多重視窗 (Multi View 2 影片) / NFT (Nifty Gateway) / 感應連結 (Tap View) / 遠端存取 / 遊戲模式 / 影像尺寸 / Windows 10 認證 / 虛擬準心 / Game Bar 2.0 / HDMI-CEC / Auto Source Switch+ / Adaptive Picture / Ultrawide Game View / 低藍光 / 零閃屏,Wireless Display + HDMI 1 (2.0, HDCP 2.2) + USB 2 (USB Hub 2.0) + USB-C 1 (65W 充電, HDCP 2.2) + WiFi 5 + 藍牙 5.2,立體聲 5W x 2 / 智慧音效 Adaptive Sound+,HAS PIVOT 底座 / HAS 高度 120mm / 前後傾斜 -2°~15° / 垂直旋轉 -92°~92°,100 x 100,AC 100-240V 外接電源變壓器,最高 140W,713.4 x 643.5 x 200 mm,713.4 x 423.8 x 24.5 mm,800 x 159 x 511 mm,6.4 kg,4.2 kg,9 kg,電源線 1.5m + HDMI 線 + USB Type-C 線 + 白色 USB-C 充電遙控器
LS27CM501ECXZW,對應型號S27CM501EC,27吋智慧聯網螢幕 M5 (2023) 白色,27吋16:9 VA,Full HD (1920 x 1080),Max 60Hz,4ms(GtG),典型 250 cd/㎡ / 最小 200 cd/㎡,3000:1 (Typ.),HDR10,178°(H)/178°(V),Max 1B 色,Smart 類型 / Tizen 作業系統 / Microsoft 365 / 感應連結 Tap View / 遠端存取 Remote Access,Wireless Display + HDMI 2 (1.4) + HDCP 2.2 + USB 2 + WiFi 5 + 藍牙 5.2,立體聲 5W x 2 / Adaptive Sound,前後傾斜 -2.0°(±2.0°)~+22.0°(±2.0°) / 壁掛 100 x 100,100 x 100,AC 100-240V,最高 50W (內置電源),615.5 x 455.4 x 193.5 mm,615.5 x 367.9 x 41.8 mm,738.0 x 126.0 x 428.0 mm,5.0 kg,3.9 kg,6.4 kg,電源線 1.5m + HDMI 連接線 + 白色遙控器
LS27CM500ECXZW,對應型號S27CM500EC,27吋智慧聯網螢幕 M5 (2023) 黑色,27吋16:9 VA,Full HD (1920 x 1080),Max 60Hz,4ms(GtG),典型 250 cd/㎡ / 最小 200 cd/㎡,3000:1 (Typ.),HDR10,178°(H)/178°(V),Max 1B 色,Smart 類型 / Tizen 作業系統 / Microsoft 365 / 感應連結 Tap View / 遠端存取 Remote Access,Wireless Display + HDMI 2 (1.4) + HDCP 2.2 + USB 2 + WiFi 5 + 藍牙 5.2,立體聲 5W x 2 / Adaptive Sound,前後傾斜 -2.0°(±2.0°)~+22.0°(±2.0°) / 壁掛 100 x 100,100 x 100,AC 100-240V,最高 50W (內置電源),615.5 x 455.4 x 193.5 mm,615.5 x 367.9 x 41.8 mm,738.0 x 126.0 x 428.0 mm,4.8 kg,3.6 kg,6.1 kg,電源線 1.5m + HDMI 連接線 + 黑色遙控器
LS34A650UBCXZW,對應型號S34A650UBC,34吋 S6 Ultra WQHD 高解析度曲面顯示器 (ENERGY STAR),34吋21:9 VA曲面 1000R,UWQHD (3440 x 1440),Max 100Hz,5ms,典型 350 cd/㎡ / 最小 250 cd/㎡,原生 4000:1 / 動態 Mega ∞ DCR,HDR10,178°(H)/178°(V),Max 1.07B (官網未標示 sRGB 覆蓋率),省電模式自由選 / Eco Light Sensor / 低藍光 / 零閃屏 / PIP / PBP / 遊戲模式 / 影像尺寸 / FreeSync / Off Timer Plus / Auto Source Switch+ / Adaptive Picture / Windows 10 認證,Display Port 1.2 x 1 + HDMI 2.0 x 1 + 耳機 + USB 3.0 x 3 + USB-C 1 (90W 充電) + LAN x 1,無喇叭,HAS 底座 HAS 120mm / 前後傾斜 -2°~25° / 左右旋轉 -30°~30° / 垂直旋轉 -2°~2°,100 x 100,AC 100-240V 內置電源,(官網未標示),806.6 x 553.3 x 234.9 mm,806.6 x 369.4 x 128.1 mm,895.0 x 216.0 x 471.0 mm,7.6 kg,5.1 kg,9.7 kg,電源線 1.5m + HDMI 線 + USB Type-C 線
LC32G55TQBCXZW,對應型號C32G55TQBC,32吋 Odyssey G5 1000R 曲面電競顯示器,32吋16:9 VA曲面 1000R,QHD (2560 x 1440),Max 144Hz,1ms (MPRT),典型 300 cd/㎡ / 最小 200 cd/㎡,原生 2500:1 / 動態 Mega ∞ DCR,HDR10,178°(H)/178°(V),Max 16.7M 色 (官網未標示 sRGB/NTSC),低藍光 / 零閃屏 / Windows 10 認證 / FreeSync Premium / Off Timer Plus / 智慧影像尺寸調整 / 黑平衡 / 低輸入延遲 / 更新率最佳化 / 超級電競模式 UX / 色彩支援 Custom/FPS/RTS/RPG/Sports/Cinema/Dynamic Contrast,Display Port 1.2 x 1 + HDMI 2.0 x 1 + 耳機,無喇叭,Y 型底座 (無 HAS 高度) / 前後傾斜 -2°~18°,75 x 75,AC 100-240V 外接電源變壓器,(官網未標示),710.1 x 533.6 x 272.6 mm,710.1 x 439.4 x 135.9 mm,793.0 x 197 x 494.0 mm,5.2 kg,4.8 kg,7.5 kg,電源線 1.5m + HDMI 線
LC27G55TQBCXZW,對應型號C27G55TQBC,27吋 Odyssey G5 1000R 曲面電競顯示器,27吋16:9 VA曲面 1000R,QHD (2560 x 1440),Max 144Hz,1ms (MPRT),典型 300 cd/㎡ / 最小 200 cd/㎡,原生 2500:1 / 動態 Mega ∞ DCR,HDR10,178°(H)/178°(V),Max 16.7M 色 (官網未標示 sRGB/NTSC),低藍光 / 零閃屏 / Windows 10 認證 / FreeSync Premium / Off Timer Plus / 智慧影像尺寸調整 / 黑平衡 / 低輸入延遲 / 更新率最佳化 / 超級電競模式 UX,Display Port 1.2 x 1 + HDMI 2.0 x 1 + 耳機,無喇叭,Y 型底座 (無 HAS 高度) / 前後傾斜 -2°~18°,75 x 75,AC 100-240V 外接電源變壓器,(官網未標示),710.1 x 533.6 x 272.6 mm,710.1 x 439.4 x 135.9 mm,793.0 x 197 x 494.0 mm,5.2 kg,4.8 kg,7.5 kg,電源線 1.5m + HDMI 線
